,time,x_traj,y_traj,cam_x,cam_y,prob,x_pose,y_pose
140,0.0,885,12.211805555555554,865.6220092773,50.8125534058,0.9999802113,22.0128727224,55.76101696234544
141,0.014,890,12.211805555555554,865.6821289062,50.7884254456,0.9999806881000001,22.0086518863,55.76101696234544
142,0.030000000000000002,895,12.211805555555554,865.8248901367,50.8160972595,0.9999814034000001,21.99937077,55.76101696234544
143,0.046000000000000006,900,12.211805555555554,865.9321289062,50.7064666748,0.9999816418,21.9912709171,55.76101696234544
144,0.062000000000000006,900,12.211805555555554,866.0895996094,50.592880249,0.999982357,21.9797794775,55.76101696234544
145,0.078,910,12.211805555555554,866.1154785156,50.5935440063,0.999982357,21.9780559766,55.76101696234545
146,0.094,915,12.211805555555554,866.1154785156,50.5935440063,0.999982357,21.9780559766,55.75664768981817
147,0.11,915,12.211805555555554,866.155090332,50.5573768616,0.999982357,21.9750988667,55.73609947581817
148,0.126,920,12.211805555555554,866.2201538086,50.5692062378,0.9999827147,21.9708638156,55.68298839462726
149,0.14200000000000002,925,12.211805555555554,866.2946777344,50.6094932556,0.9999829531000001,21.9662394873,55.587224624236356
150,0.158,930,12.211805555555554,866.2575683594,50.6508712769,0.9999827147,21.9690773152,55.41896648519091
151,0.17400000000000002,935,12.211805555555554,866.5842895508,51.370967865,0.9999829531000001,21.9535487749,55.216896002772714
152,0.19,940,12.211805555555554,867.7035522461,53.2623939514,0.9999716282000001,21.8954388179,55.21157538151817
153,0.20700000000000002,945,12.211805555555554,871.2474975586,57.2447013855,0.9998693466,21.6946004052,54.84271363458181
154,0.222,950,12.211805555555554,875.4378662109,62.3291854858,0.9995151758,21.4616781095,54.43664682542727
155,0.23800000000000002,955,12.211805555555554,878.8690185547,70.9109191895,0.9996591806,21.3119550185,53.9664497938909
156,0.254,960,12.211805555555554,886.6029663086,75.4103393555,0.9996070266,20.8431075023,53.48305200764545
157,0.27,965,12.211805555555554,890.4467773438,52.7906799316,0.9470569491,20.3674603999,52.96507024343636
158,0.28600000000000003,970,12.211805555555554,896.7964477539,96.1903762817,0.9979925156,20.3702071127,52.423954557690905
159,0.30200000000000005,975,12.211805555555554,896.6252441406,100.7812042236,0.9994871616000001,20.4245312727,51.8923493760818
160,0.318,980,12.211805555555554,898.0171508789,108.9151382446,0.9570035338,20.4101047788,51.37611792839091
