,animal_id,movement_type,time,bug_speed,bug_type,bug_size,strike_id,exit_hole,strike_x,strike_y,arena,trial_id,proj_strike,is_hit,miss_distance,proj_bug_x,day,proj_strike_x,proj_strike_y
1251,PV80,random_low_horizontal,2023-06-02 11:02:50.360,6.303169819288468,cockroach,155,3562,left,741.0,793.0,msi-regev,13337,"[-122.0, 4.0]",False,2.2877829306661113,-72.0,2023-06-02,-2.1794791666666664,4.0
1252,PV80,random_low_horizontal,2023-06-02 13:01:08.728,4.207390921795041,cockroach,157,3567,left,691.0,796.0,msi-regev,13352,"[-82.0, 1.0]",True,1.5364580270126813,-60.0,2023-06-02,-1.4648958333333333,1.0
1256,PV80,random_low_horizontal,2023-06-02 17:01:06.392,4.113847588404088,cockroach,148,3574,left,1292.0,788.0,msi-regev,13382,"[-75.0, 9.0]",True,1.349456144069019,-88.0,2023-06-02,-1.33984375,9.0
1257,PV80,random_low_horizontal,2023-06-02 17:01:30.432,4.202962152518431,cockroach,152,3575,right,1517.0,791.0,msi-regev,13383,"[-83.0, -6.0]",True,1.486629615401818,-76.0,2023-06-02,-1.4827604166666666,-6.0
1258,PV80,random_low_horizontal,2023-06-02 17:04:29.390,4.174882879865298,cockroach,151,3576,right,1125.0,782.0,msi-regev,13391,"[-99.0, -15.0]",True,1.7887792215686162,-76.0,2023-06-02,-1.76859375,-15.0
1259,PV91,jump_up,2023-06-01 14:32:13.883,2.598134441097634,cockroach,100,3544,left,1075.0,642.0,reptilearn4,13203,"[71.0, 0.0]",False,1.94895,-56.0,2023-06-01,1.94895,0.0
1260,PV91,jump_up,2023-06-01 14:32:15.065,1.6146092820616356,cockroach,100,3545,left,1079.0,626.0,reptilearn4,13203,"[-71.0, 4.0]",False,1.9520405073922007,-90.0,2023-06-01,-1.94895,4.0
1265,PV91,jump_up,2023-06-01 16:31:59.560,1.5949189588367718,cockroach,100,3553,left,869.0,582.0,reptilearn4,13212,"[-79.00000000000006, -2.0]",False,2.169244825394312,-90.00000000000006,2023-06-01,-2.1685500000000015,-2.0
1269,PV91,jump_up,2023-06-01 14:32:16.865,1.4901642391064922,cockroach,100,3546,left,1077.0,600.0,reptilearn4,13203,"[-63.0, 2.0]",True,1.7302212091232727,-86.0,2023-06-01,-1.72935,2.0
1271,PV91,jump_up,2023-06-01 16:32:00.137,1.2241233259121933,cockroach,100,3554,left,867.0,601.0,reptilearn4,13212,"[107.99999999999994, 4.0]",False,2.9666326365089426,-52.0,2023-06-01,2.964599999999998,4.0
1272,PV91,jump_up,2023-06-02 10:31:15.262,3.5112089612311794,cockroach,100,3580,left,1275.0,615.0,reptilearn4,13412,"[-56.0, 8.0]",True,1.6615755053562868,-40.0,2023-06-02,-1.5372,8.0
1276,PV80,random_low_horizontal,2023-06-02 11:02:50.971,6.317211383601961,cockroach,155,3563,left,521.0,797.0,msi-regev,13337,"[-124.0, 1.1368683772161603e-13]",False,2.2152083333333334,-90.0,2023-06-02,-2.2152083333333334,1.1368683772161603e-13
1277,PV80,random_low_horizontal,2023-06-02 11:03:12.161,6.246885430382073,cockroach,158,3564,right,1129.0,790.0,msi-regev,13338,"[-115.0, -7.0]",False,2.058229497475807,-90.0,2023-06-02,-2.054427083333333,-7.0
1282,PV80,random_low_horizontal,2023-06-02 16:02:26.417,2.097325150787324,cockroach,141,3573,right,515.0,789.0,msi-regev,13375,"[-53.0, -8.0]",True,0.9928916205073868,-28.0,2023-06-02,-0.9468229166666666,-8.0
1283,PV80,random_low_horizontal,2023-06-02 18:03:05.411,2.1060168085427033,cockroach,145,3577,right,1119.0,764.0,msi-regev,13396,"[-45.0, -33.0]",True,0.9969013760225356,-36.0,2023-06-02,-0.8039062499999999,-33.0
1284,PV80,random_low_horizontal,2023-06-02 18:04:00.055,2.1052666943144294,cockroach,155,3578,left,792.0,764.0,msi-regev,13398,"[-51.0, 33.0]",True,1.0851907279439983,-38.0,2023-06-02,-0.91109375,33.0
1288,PV91,jump_up,2023-06-02 11:32:55.880,4.05900891289658,cockroach,100,3592,left,825.0,695.0,reptilearn4,13421,"[-126.69229837047385, -1.0303075302141451]",False,3.4778185878507233,-112.58774356030062,2023-06-02,-3.477703590269507,-1.0303075302141451
1289,PV80,random_low_horizontal,2023-06-03 12:05:07.986,6.2817307321960225,cockroach,159,3600,right,1042.0,780.0,msi-regev,13471,"[-124.0, -17.0]",False,2.1297850263242615,-240.0,2023-06-03,-2.2152083333333334,-17.0
1290,PV80,random_low_horizontal,2023-06-03 12:05:09.124,6.315326279496606,cockroach,159,3601,right,1454.0,789.0,msi-regev,13471,"[-114.0, -8.0]",False,2.148508607409128,-90.0,2023-06-03,-2.0365625,-8.0
1292,PV80,random_low_horizontal,2023-06-03 13:06:58.063,4.213288977649221,cockroach,148,3604,left,1039.0,792.0,msi-regev,13486,"[-93.99999999999989, 5.0]",True,1.6816447648435944,-72.0,2023-06-03,-1.6792708333333313,5.0
1298,PV80,random_low_horizontal,2023-06-03 10:05:07.466,4.200423666750312,cockroach,141,3612,right,868.0,794.0,msi-regev,13455,"[-88.0, -3.0]",True,1.5729965978931761,-188.0,2023-06-03,-1.5720833333333333,-3.0
1300,PV80,random_low_horizontal,2023-06-03 10:07:23.963,4.201790045606812,cockroach,146,3614,right,1539.0,819.0,msi-regev,13458,"[-53.0, 22.0]",True,1.0914953410507946,-52.0,2023-06-03,-0.9468229166666666,22.0
1302,PV80,random_low_horizontal,2023-06-03 11:07:51.013,6.32039461934476,cockroach,152,3621,right,1168.0,781.0,msi-regev,13469,"[-130.0, -16.0]",False,2.339919464667208,-102.0,2023-06-03,-2.322395833333333,-16.0
1319,PV80,random_low_horizontal,2023-06-03 11:06:28.622,6.156313587795541,cockroach,147,3617,left,1162.0,782.0,msi-regev,13513,"[-135.0, 15.0]",False,2.4265602362352605,-78.0,2023-06-03,-2.41171875,15.0
1320,PV80,random_low_horizontal,2023-06-03 13:06:36.564,4.124229159352228,cockroach,140,3618,right,629.0,784.0,msi-regev,13485,"[-79.0, -13.0]",True,1.4302827673183536,-64.0,2023-06-03,-1.4113020833333334,-13.0
1321,PV80,random_low_horizontal,2023-06-03 14:05:06.390,7.78614847291991,cockroach,140,3619,right,636.0,787.0,msi-regev,13514,"[-132.0, -10.0]",False,2.3648822062403787,-168.0,2023-06-03,-2.358125,-10.0
1322,PV80,random_low_horizontal,2023-06-03 11:07:51.537,6.321209717282739,cockroach,152,3622,right,1381.0,784.0,msi-regev,13469,"[-103.0, -13.0]",False,1.854650073045096,-66.0,2023-06-03,-1.8400520833333334,-13.0
1323,PV80,random_low_horizontal,2023-06-03 11:07:51.975,6.3181336893345135,cockroach,152,3623,right,1528.0,792.0,msi-regev,13469,"[-112.0, -5.0]",False,2.0028261560154483,-222.0,2023-06-03,-2.0008333333333335,-5.0
1327,PV91,jump_up,2023-06-03 09:32:50.555,2.7880936450768274,cockroach,100,3630,left,945.0,633.0,reptilearn4,13546,"[-86.0, -2.0]",False,2.361338285803201,-106.0,2023-06-03,-2.3607,-2.0
1328,PV91,jump_up,2023-06-03 10:31:55.246,3.9885945954489617,cockroach,100,3633,left,960.0,678.0,reptilearn4,13550,"[-36.59404178012193, 3.856955560372853]",True,1.0100704851642779,-42.520583250938614,2023-06-03,-1.0045064468643468,3.856955560372853
1332,PV91,jump_up,2023-06-03 11:31:59.558,3.344520338126306,cockroach,100,3647,left,592.0,659.0,reptilearn4,13554,"[82.0, 3.0]",False,2.252405898700321,-40.0,2023-06-03,2.2508999999999997,3.0
1339,PV91,jump_up,2023-06-03 15:31:39.095,3.9425791921139814,cockroach,100,3662,left,819.0,698.0,reptilearn4,13573,"[-86.1924457046996, -30.26321700418532]",False,2.6169799812952332,-97.01546268507923,2023-06-03,-2.365982634594004,-30.26321700418532
