,frame_id,left_ear_cam_x,left_ear_cam_y,left_ear_prob,mid_ears_cam_x,mid_ears_cam_y,mid_ears_prob,nose_cam_x,nose_cam_y,nose_prob,right_ear_cam_x,right_ear_cam_y,right_ear_prob,time,x,y,vx,vy,ax,ay,nose_x,nose_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,angle,bug_x,bug_y,dev_angle,bug_x_cm,block_id,animal_id,datetime,x_obs,strike_id,total_sec
0,1759,687.4011230469,260.881652832,0.9998825788000001,660.3809204102,233.1374053955,0.9990842342,602.9842529297,242.9427337646,0.9998503923000001,633.3607177734,205.393157959,0.9982859492,1684074667.621799,,,,,,,38.0982514401,35.1566454002,33.3905566248,33.9718435511,36.4999419736,37.8274211953,0.2314224506,,,,,1422,PV91,2023-05-14 14:31:07.621798912,,,-0.9833169920000001
1,1760,687.4315185547,260.9126281738,0.9998856783000001,660.4064941406,233.1510314941,0.9990882874,602.9409790039,242.9551849365,0.9998499155,633.3814086914,205.3894195557,0.9982909560000001,1684074667.638465,,,,,,,38.1006264182,35.1557829081,33.3888727769,33.969779171,36.4987690278,37.8277015217,0.2311445959,,,,,1422,PV91,2023-05-14 14:31:07.638465024,,,-0.9666508800000001
2,1761,687.4630126953,260.8877258301,0.9998886585000001,660.4138793945,233.138458252,0.9990811348,602.9089355469,242.9586791992,0.9998476505,633.3647460938,205.3891906738,0.9982736111,1684074667.655132,,,,,,,38.1024047657,35.1555391929,33.3871552991,33.9714894041,36.4997215479,37.8277117999,0.2313231812,,,,,1422,PV91,2023-05-14 14:31:07.655132160,,,-0.9499837440000001
3,1762,687.530090332,260.9144592285,0.9998917580000001,660.4505004883,233.1546020508,0.999084115,602.9584960938,242.9522857666,0.9998495579000001,633.3709106445,205.3947601318,0.9982764721,1684074667.671798,,,,,,,38.0996559081,35.15598302,33.3834552528,33.9697427514,36.4993550436,37.8273082267,0.2309180412,,,,,1422,PV91,2023-05-14 14:31:07.671798016,,,-0.9333178880000002
4,1763,687.5179443359,260.8641357422,0.9998910427000001,660.4083251953,233.1362609863,0.9990620613000001,602.9653930664,242.9336700439,0.9998505116,633.2986450195,205.4084014893,0.9982330799,1684074667.688465,,,,,,,38.0993377452,35.1572707561,33.3841475267,33.9731295294,36.5034393308,37.8262894233,0.2310779668,,,,,1422,PV91,2023-05-14 14:31:07.688465152,,,-0.9166507520000001
5,1764,687.5357666016,260.8759765625,0.9998909235000001,660.4194335938,233.1472473145,0.9990597963000001,602.9668579102,242.9385681152,0.9998497963,633.3031616211,205.4185028076,0.9982287288,1684074667.705131,,,,,,,38.0992378906,35.1569330354,33.3831626572,33.972347203300004,36.5031512736,37.8255544826,0.2309136853,,,,,1422,PV91,2023-05-14 14:31:07.705131008,,,-0.8999848960000001
6,1765,687.496887207,260.8859558105,0.9998904467,660.4310302734,233.1426849365,0.9990819097,602.9568481445,242.9579772949,0.9998505116,633.3651733398,205.3994140625,0.9982733727,1684074667.721798,,,,,,,38.0997318869,35.155589843,33.3852969585,33.9716370413,36.4996700965,37.8269666895,0.2313397656,,,,,1422,PV91,2023-05-14 14:31:07.721797888,,,-0.8833180160000002
7,1766,687.5757446289,260.9300537109,0.9998947382000001,660.4488525391,233.1702880859,0.9990628958000001,602.9208984375,242.9550933838,0.999849081,633.3219604492,205.4105072021,0.9982311130000001,1684074667.738464,,,,,,,38.1017516406,35.155787204,33.3809377406,33.9687304233,36.5021009518,37.8261435763,0.2305106297,,,,,1422,PV91,2023-05-14 14:31:07.738464000,,,-0.8666519040000001
8,1767,687.6126098633,260.9421081543,0.9998960495,660.4489746094,233.1720581055,0.9990541935,602.8980102539,242.9546203613,0.99985075,633.2853393555,205.4019927979,0.9982123375,1684074667.75513,,,,,,,38.1030307372,35.155819202,33.3789050056,33.967949104,36.5042152275,37.8267512289,0.23038787600000002,,,,,1422,PV91,2023-05-14 14:31:07.755130112,,,-0.8499857920000001
9,1768,687.5148925781,260.9201965332,0.9998904467,660.4268188477,233.1550598145,0.9990773201,602.9044189453,242.9760742188,0.9998477697,633.3387451172,205.3899383545,0.9982642531,1684074667.771796,,,,,,,38.1025973622,35.1543360093,33.384285058,33.9693436341,36.5012015317,37.8276490499,0.2312901478,,,,,1422,PV91,2023-05-14 14:31:07.771795968,,,-0.8333199360000001
10,1769,687.5581054688,260.9284362793,0.9998919964,660.3903808594,233.1518707275,0.9990454912000001,602.8765869141,242.9579162598,0.9998469353,633.22265625,205.3753051758,0.9981989264000001,1684074667.788463,,,,,,,38.1042174055,35.1555900604,33.3819067015,33.9688230908,36.507859646200004,37.8286752759,0.23102659250000002,,,,,1422,PV91,2023-05-14 14:31:07.788463104,,,-0.8166528000000001
